x-axis,1,2,F1
second,Volt,Ampere,Watt
+214.60000E-03,,,
+214.62500E-03,-574.62312859E+00,-260.05025E-03,+162.81127930E+00
+214.65000E-03,-577.13569146E+00,-281.40703E-03,+162.31727600E+00
+214.67500E-03,-570.85428429E+00,-280.15075E-03,+160.62355042E+00
+214.70000E-03,-576.63317889E+00,-281.40703E-03,+185.34469604E+00
+214.72500E-03,-574.62312859E+00,-300.25125E-03,+186.06567383E+00
+214.75000E-03,-578.89448547E+00,-321.60804E-03,+186.06567383E+00
+214.77500E-03,-578.89448547E+00,-321.60804E-03,+186.06567383E+00
+214.80000E-03,-570.85428429E+00,-321.60804E-03,+190.76347351E+00
+214.82500E-03,-570.85428429E+00,-321.60804E-03,+209.32006836E+00
+214.85000E-03,-578.89448547E+00,-353.01507E-03,+208.69255066E+00
+214.87500E-03,-570.85428429E+00,-361.80904E-03,+209.32006836E+00
+214.90000E-03,-573.11559087E+00,-361.80904E-03,+226.03416443E+00
+214.92500E-03,-575.12564117E+00,-383.16583E-03,+232.57446289E+00
+214.95000E-03,-570.85428429E+00,-402.01005E-03,+232.57446289E+00
+214.97500E-03,-570.85428429E+00,-402.01005E-03,+232.57446289E+00
+215.00000E-03,-570.85428429E+00,-402.01005E-03,+253.30162048E+00
+215.02500E-03,-574.62312859E+00,-423.36683E-03,+255.88989258E+00
+215.05000E-03,-578.89448547E+00,-442.21105E-03,+255.88989258E+00
+215.07500E-03,-570.85428429E+00,-442.21105E-03,+252.40135193E+00
+215.10000E-03,-570.85428429E+00,-471.10552E-03,+279.14428711E+00
+215.12500E-03,-570.85428429E+00,-442.21105E-03,+277.31323242E+00
+215.15000E-03,-570.85428429E+00,-482.41206E-03,+278.28979492E+00
+215.17500E-03,-570.85428429E+00,-482.41206E-03,+301.54991150E+00
+215.20000E-03,-570.85428429E+00,-493.71859E-03,+302.39868164E+00
+215.22500E-03,-570.85428429E+00,-503.76884E-03,+298.18725586E+00
+215.25000E-03,-570.85428429E+00,-513.81909E-03,+298.18725586E+00
+215.27500E-03,-570.85428429E+00,-522.61306E-03,+324.79476929E+00
+215.30000E-03,-570.85428429E+00,-533.91959E-03,+321.13647461E+00
+215.32500E-03,-567.08543998E+00,-562.81406E-03,+323.53591919E+00
+215.35000E-03,-570.85428429E+00,-562.81406E-03,+339.06555176E+00
+215.37500E-03,-562.81408310E+00,-601.75879E-03,+344.08569336E+00
+215.40000E-03,-568.59297770E+00,-562.81406E-03,+344.08569336E+00
+215.42500E-03,-562.81408310E+00,-603.01507E-03,+344.08569336E+00
+215.45000E-03,-562.81408310E+00,-611.80904E-03,+366.97387695E+00
+215.47500E-03,-562.81408310E+00,-641.95979E-03,+362.00714111E+00
+215.50000E-03,-562.81408310E+00,-643.21607E-03,+361.84692383E+00
+215.52500E-03,-558.54272622E+00,-643.21607E-03,+361.84692383E+00
