x-axis,F1
Hertz,decibel
+0.0E+00,-53.64380E+00
+250.0E-03,-53.80925E+00
+500.0E-03,-59.76879E+00
+750.0E-03,-59.44285E+00
+1.0000E+00,-65.94328E+00
+1.2500E+00,-63.74615E+00
+1.5000E+00,-74.75828E+00
+1.7500E+00,-67.71524E+00
+2.0000E+00,-72.77084E+00
+2.2500E+00,-79.43248E+00
+2.5000E+00,-68.65325E+00
+2.7500E+00,-73.29438E+00
+3.0000E+00,-73.04227E+00
+3.2500E+00,-74.56542E+00
+3.5000E+00,-70.12554E+00
+3.7500E+00,-72.95436E+00
+4.0000E+00,-74.72276E+00
+4.2500E+00,-75.97299E+00
+4.5000E+00,-75.17422E+00
+4.7500E+00,-76.88865E+00
+5.0000E+00,-72.70691E+00
+5.2500E+00,-73.96069E+00
+5.5000E+00,-80.68130E+00
+5.7500E+00,-81.40202E+00
+6.0000E+00,-71.76321E+00
+6.2500E+00,-72.73390E+00
+6.5000E+00,-81.20009E+00
+6.7500E+00,-79.67277E+00
+7.0000E+00,-74.93642E+00
+7.2500E+00,-80.51163E+00
+7.5000E+00,-81.06266E+00
+7.7500E+00,-78.41615E+00
+8.0000E+00,-75.84467E+00
+8.2500E+00,-81.85289E+00
+8.5000E+00,-81.31256E+00
+8.7500E+00,-82.23137E+00
+9.0000E+00,-80.57414E+00
+9.2500E+00,-83.82218E+00
+9.5000E+00,-88.27317E+00
+9.7500E+00,-84.32890E+00
+10.0000E+00,-81.42797E+00
+10.2500E+00,-91.08297E+00
+10.5000E+00,-85.70258E+00
+10.7500E+00,-87.32334E+00
+11.0000E+00,-75.74272E+00
+11.2500E+00,-74.58910E+00
+11.5000E+00,-79.96433E+00
+11.7500E+00,-74.16850E+00
+12.0000E+00,-77.85039E+00
+12.2500E+00,-75.26478E+00
+12.5000E+00,-70.21624E+00
+12.7500E+00,-82.88095E+00
+13.0000E+00,-89.37669E+00
+13.2500E+00,-78.76304E+00
+13.5000E+00,-74.58583E+00
+13.7500E+00,-76.84278E+00
+14.0000E+00,-76.74726E+00
+14.2500E+00,-85.36323E+00
+14.5000E+00,-78.81006E+00
+14.7500E+00,-79.48058E+00
+15.0000E+00,-82.97711E+00
+15.2500E+00,-78.98169E+00
+15.5000E+00,-78.08685E+00
+15.7500E+00,-78.26916E+00
+16.0000E+00,-82.66872E+00
+16.2500E+00,-83.27071E+00
+16.5000E+00,-75.02000E+00
+16.7500E+00,-78.31618E+00
+17.0000E+00,-81.38864E+00
+17.2500E+00,-80.80904E+00
+17.5000E+00,-81.87503E+00
+17.7500E+00,-80.86290E+00
+18.0000E+00,-78.54402E+00
+18.2500E+00,-86.96378E+00
+18.5000E+00,-86.34843E+00
+18.7500E+00,-81.27786E+00
+19.0000E+00,-89.26491E+00
+19.2500E+00,-72.46506E+00
+19.5000E+00,-75.15472E+00
+19.7500E+00,-75.06640E+00
+20.0000E+00,-81.19196E+00
+20.2500E+00,-79.49526E+00
+20.5000E+00,-77.05211E+00
+20.7500E+00,-82.26678E+00
+21.0000E+00,-82.05485E+00
+21.2500E+00,-92.90123E+00
+21.5000E+00,-82.11864E+00
+21.7500E+00,-74.43917E+00
+22.0000E+00,-85.92314E+00
+22.2500E+00,-79.07974E+00
+22.5000E+00,-79.12025E+00
+22.7500E+00,-79.46116E+00
+23.0000E+00,-81.97893E+00
+23.2500E+00,-79.46600E+00
+23.5000E+00,-76.77385E+00
+23.7500E+00,-75.72494E+00
+24.0000E+00,-79.25966E+00
+24.2500E+00,-80.07494E+00
+24.5000E+00,-85.26742E+00
+24.7500E+00,-87.68401E+00
+25.0000E+00,-76.09015E+00
+25.2500E+00,-73.86223E+00
+25.5000E+00,-77.63680E+00
+25.7500E+00,-85.69785E+00
+26.0000E+00,-87.19402E+00
+26.2500E+00,-72.62784E+00
+26.5000E+00,-76.08682E+00
+26.7500E+00,-86.96235E+00
+27.0000E+00,-86.56027E+00
+27.2500E+00,-78.84531E+00
+27.5000E+00,-84.60167E+00
+27.7500E+00,-79.53783E+00
+28.0000E+00,-74.72244E+00
+28.2500E+00,-79.57780E+00
+28.5000E+00,-79.11174E+00
+28.7500E+00,-78.04932E+00
+29.0000E+00,-84.95606E+00
+29.2500E+00,-78.49664E+00
+29.5000E+00,-85.56697E+00
+29.7500E+00,-80.37224E+00
+30.0000E+00,-82.27714E+00
+30.2500E+00,-81.02559E+00
+30.5000E+00,-83.82790E+00
+30.7500E+00,-73.88750E+00
+31.0000E+00,-77.99434E+00
+31.2500E+00,-74.34839E+00
+31.5000E+00,-76.43279E+00
+31.7500E+00,-89.21468E+00
+32.0000E+00,-84.77311E+00
+32.2500E+00,-80.42241E+00
+32.5000E+00,-82.89258E+00
+32.7500E+00,-84.68469E+00
+33.0000E+00,-89.07891E+00
+33.2500E+00,-79.69096E+00
+33.5000E+00,-78.69687E+00
+33.7500E+00,-78.78431E+00
+34.0000E+00,-84.31079E+00
